,Neighborhood,City,Latitude,Longitude,Venue,Venue Category,Category,Address
11775,Commerce Court,Toronto,43.64809515,-79.3790207204735,Brick Street Bakery,Bakery,Food,"('Commerce Court', 'Toronto')"
11776,Commerce Court,Toronto,43.64809515,-79.3790207204735,Craft Beer Market,Beer Bar,Nightlife Spot,"('Commerce Court', 'Toronto')"
11777,Commerce Court,Toronto,43.64809515,-79.3790207204735,Olly Fresco's,Deli / Bodega,Food,"('Commerce Court', 'Toronto')"
11778,Commerce Court,Toronto,43.64809515,-79.3790207204735,Dineen @CommerceCourt,Coffee Shop,Food,"('Commerce Court', 'Toronto')"
11779,Commerce Court,Toronto,43.64809515,-79.3790207204735,Ki Modern Japanese + Bar,Japanese Restaurant,Food,"('Commerce Court', 'Toronto')"
11780,Commerce Court,Toronto,43.64809515,-79.3790207204735,Design Exchange,Art Gallery,Arts & Entertainment,"('Commerce Court', 'Toronto')"
11781,Commerce Court,Toronto,43.64809515,-79.3790207204735,Chotto Matte,Japanese Restaurant,Food,"('Commerce Court', 'Toronto')"
11782,Commerce Court,Toronto,43.64809515,-79.3790207204735,Starbucks,Coffee Shop,Food,"('Commerce Court', 'Toronto')"
11783,Commerce Court,Toronto,43.64809515,-79.3790207204735,Kupfert & Kim (First Canadian Place),Gluten-free Restaurant,Food,"('Commerce Court', 'Toronto')"
11784,Commerce Court,Toronto,43.64809515,-79.3790207204735,Bymark,Restaurant,Food,"('Commerce Court', 'Toronto')"
11785,Commerce Court,Toronto,43.64809515,-79.3790207204735,Marché Mövenpick,Restaurant,Food,"('Commerce Court', 'Toronto')"
11786,Commerce Court,Toronto,43.64809515,-79.3790207204735,Garrison Bespoke,Tailor Shop,Shop & Service,"('Commerce Court', 'Toronto')"
11787,Commerce Court,Toronto,43.64809515,-79.3790207204735,Starbucks,Coffee Shop,Food,"('Commerce Court', 'Toronto')"
11788,Commerce Court,Toronto,43.64809515,-79.3790207204735,Cosmopolitan Toronto Centre Hotel & Spa,Hotel,Travel & Transport,"('Commerce Court', 'Toronto')"
11789,Commerce Court,Toronto,43.64809515,-79.3790207204735,Biff's Bistro,French Restaurant,Food,"('Commerce Court', 'Toronto')"
11790,Commerce Court,Toronto,43.64809515,-79.3790207204735,One King West Hotel & Residence,Hotel,Travel & Transport,"('Commerce Court', 'Toronto')"
11791,Commerce Court,Toronto,43.64809515,-79.3790207204735,King Taps,Gastropub,Food,"('Commerce Court', 'Toronto')"
11792,Commerce Court,Toronto,43.64809515,-79.3790207204735,Buster's Sea Cove,Seafood Restaurant,Food,"('Commerce Court', 'Toronto')"
11793,Commerce Court,Toronto,43.64809515,-79.3790207204735,Petit Four Bakery,Sandwich Place,Food,"('Commerce Court', 'Toronto')"
11794,Commerce Court,Toronto,43.64809515,-79.3790207204735,The National Club,Wine Bar,Nightlife Spot,"('Commerce Court', 'Toronto')"
11795,Commerce Court,Toronto,43.64809515,-79.3790207204735,Starbucks,Coffee Shop,Food,"('Commerce Court', 'Toronto')"
11796,Commerce Court,Toronto,43.64809515,-79.3790207204735,Indigospirit,Bookstore,Shop & Service,"('Commerce Court', 'Toronto')"
11797,Commerce Court,Toronto,43.64809515,-79.3790207204735,Over Easy,Breakfast Spot,Food,"('Commerce Court', 'Toronto')"
11798,Commerce Court,Toronto,43.64809515,-79.3790207204735,Victoria's Restaurant,Restaurant,Food,"('Commerce Court', 'Toronto')"
11799,Commerce Court,Toronto,43.64809515,-79.3790207204735,Brookfield Place,Shopping Mall,Shop & Service,"('Commerce Court', 'Toronto')"
11800,Commerce Court,Toronto,43.64809515,-79.3790207204735,Starbucks,Coffee Shop,Food,"('Commerce Court', 'Toronto')"
11801,Commerce Court,Toronto,43.64809515,-79.3790207204735,Jump,American Restaurant,Food,"('Commerce Court', 'Toronto')"
11802,Commerce Court,Toronto,43.64809515,-79.3790207204735,The Adelaide Hotel Toronto,Hotel,Travel & Transport,"('Commerce Court', 'Toronto')"
11803,Commerce Court,Toronto,43.64809515,-79.3790207204735,Starbucks,Coffee Shop,Food,"('Commerce Court', 'Toronto')"
11804,Commerce Court,Toronto,43.64809515,-79.3790207204735,Toronto Athletic Club,Gym,Outdoors & Recreation,"('Commerce Court', 'Toronto')"
11805,Commerce Court,Toronto,43.64809515,-79.3790207204735,Five Guys,Burger Joint,Food,"('Commerce Court', 'Toronto')"
11806,Commerce Court,Toronto,43.64809515,-79.3790207204735,McEwan Foods,Deli / Bodega,Food,"('Commerce Court', 'Toronto')"
11807,Commerce Court,Toronto,43.64809515,-79.3790207204735,Starbucks,Coffee Shop,Food,"('Commerce Court', 'Toronto')"
11808,Commerce Court,Toronto,43.64809515,-79.3790207204735,Irish Embassy,Irish Pub,Food,"('Commerce Court', 'Toronto')"
11809,Commerce Court,Toronto,43.64809515,-79.3790207204735,Tim Hortons,Coffee Shop,Food,"('Commerce Court', 'Toronto')"
11810,Commerce Court,Toronto,43.64809515,-79.3790207204735,Spirit of Hockey,Sporting Goods Shop,Shop & Service,"('Commerce Court', 'Toronto')"
11811,Commerce Court,Toronto,43.64809515,-79.3790207204735,Papyrus,Gift Shop,Shop & Service,"('Commerce Court', 'Toronto')"
11812,Commerce Court,Toronto,43.64809515,-79.3790207204735,iQ Food Co,Fast Food Restaurant,Food,"('Commerce Court', 'Toronto')"
11813,Commerce Court,Toronto,43.64809515,-79.3790207204735,Z-Teca Gourmet Burritos,Burrito Place,Food,"('Commerce Court', 'Toronto')"
11814,Commerce Court,Toronto,43.64809515,-79.3790207204735,Ruby Thai (First Canadian Place),Thai Restaurant,Food,"('Commerce Court', 'Toronto')"
11815,Commerce Court,Toronto,43.64809515,-79.3790207204735,Aroma Espresso Bar,Coffee Shop,Food,"('Commerce Court', 'Toronto')"
11816,Commerce Court,Toronto,43.64809515,-79.3790207204735,Szechuan Express,Chinese Restaurant,Food,"('Commerce Court', 'Toronto')"
11817,Commerce Court,Toronto,43.64809515,-79.3790207204735,Druxy's,Deli / Bodega,Food,"('Commerce Court', 'Toronto')"
11818,Commerce Court,Toronto,43.64809515,-79.3790207204735,Starbucks,Coffee Shop,Food,"('Commerce Court', 'Toronto')"
11819,Commerce Court,Toronto,43.64809515,-79.3790207204735,Kupfert & Kim (Brookfield Place),Gluten-free Restaurant,Food,"('Commerce Court', 'Toronto')"
11820,Commerce Court,Toronto,43.64809515,-79.3790207204735,Brooks Brothers,Clothing Store,Shop & Service,"('Commerce Court', 'Toronto')"
11821,Commerce Court,Toronto,43.64809515,-79.3790207204735,LCBO,Liquor Store,Shop & Service,"('Commerce Court', 'Toronto')"
11822,Commerce Court,Toronto,43.64809515,-79.3790207204735,Shoppers Drug Mart,Pharmacy,Shop & Service,"('Commerce Court', 'Toronto')"
11823,Commerce Court,Toronto,43.64809515,-79.3790207204735,Sushi-Q,Sushi Restaurant,Food,"('Commerce Court', 'Toronto')"
11824,Commerce Court,Toronto,43.64809515,-79.3790207204735,Hotel Victoria,Hotel,Travel & Transport,"('Commerce Court', 'Toronto')"
11825,Victoria Hotel,Toronto,43.66946915,-79.37326825,Mr. Jerk,Caribbean Restaurant,Food,"('Victoria Hotel', 'Toronto')"
11826,Victoria Hotel,Toronto,43.66946915,-79.37326825,Tinuno,Filipino Restaurant,Food,"('Victoria Hotel', 'Toronto')"
11827,Victoria Hotel,Toronto,43.66946915,-79.37326825,Gabby's,Bar,Nightlife Spot,"('Victoria Hotel', 'Toronto')"
11828,Victoria Hotel,Toronto,43.66946915,-79.37326825,Sunny Green Vegetable and Fruit,Market,Shop & Service,"('Victoria Hotel', 'Toronto')"
11829,Victoria Hotel,Toronto,43.66946915,-79.37326825,FreshCo.,Grocery Store,Shop & Service,"('Victoria Hotel', 'Toronto')"
11830,Victoria Hotel,Toronto,43.66946915,-79.37326825,Shoppers Drug Mart,Pharmacy,Shop & Service,"('Victoria Hotel', 'Toronto')"
11831,Victoria Hotel,Toronto,43.66946915,-79.37326825,Tim Hortons,Coffee Shop,Food,"('Victoria Hotel', 'Toronto')"
11832,Victoria Hotel,Toronto,43.66946915,-79.37326825,Isabella Hotel,Hotel,Travel & Transport,"('Victoria Hotel', 'Toronto')"
11833,Victoria Hotel,Toronto,43.66946915,-79.37326825,Tim Hortons,Coffee Shop,Food,"('Victoria Hotel', 'Toronto')"
11834,Victoria Hotel,Toronto,43.66946915,-79.37326825,Handy Variety,Food & Drink Shop,Shop & Service,"('Victoria Hotel', 'Toronto')"
11835,Victoria Hotel,Toronto,43.66946915,-79.37326825,Domino's Pizza,Pizza Place,Food,"('Victoria Hotel', 'Toronto')"
11836,Victoria Hotel,Toronto,43.66946915,-79.37326825,Wellesley-Magill Park,Park,Outdoors & Recreation,"('Victoria Hotel', 'Toronto')"
11837,Victoria Hotel,Toronto,43.66946915,-79.37326825,St. James Town West Park,Park,Outdoors & Recreation,"('Victoria Hotel', 'Toronto')"
11838,Victoria Hotel,Toronto,43.66946915,-79.37326825,Bixi Bike Stand,Bike Rental / Bike Share,Travel & Transport,"('Victoria Hotel', 'Toronto')"
